timestamp_begin,timestamp_end,response_time,total_calls,ENDPOINT_1,ENDPOINT_2,ENDPOINT_3,ENDPOINT_4,ENDPOINT_5,ENDPOINT_6,ENDPOINT_7,ENDPOINT_8,ENDPOINT_9,ENDPOINT_10,ENDPOINT_11,ENDPOINT_12,ENDPOINT_13,ENDPOINT_14,ENDPOINT_15,ENDPOINT_16,ENDPOINT_17,ENDPOINT_18,ENDPOINT_19,ENDPOINT_20,ENDPOINT_21,ENDPOINT_22,ENDPOINT_23,cpu_app,memory_app,cpu_db,memory_db,rows_fetched,rows_returned,db_commits
1701887598,1701887658,12.181818181818182,77,3,7,2,3,3,3,3,3,2,2,2,2,1,2,4,2,3,9,8,3,2,5,3,44.9756,23.9555,28.51570333333333,65.39059166666667,104360.9624,153980.783,124.9976
1701887658,1701887719,12.8,60,3,6,2,2,2,2,2,3,3,3,3,2,2,1,2,1,1,4,5,4,1,4,2,39.8631,23.9547,39.92897166666667,65.25902499999998,81370.3355,134672.2499,138.0202
1701887719,1701887779,13.126760563380282,71,3,5,2,4,3,3,3,3,3,3,3,2,2,2,2,2,3,6,4,6,0,5,2,39.8137,23.9547,40.27207,65.22353166666666,81419.4443,127455.0554,143.0642
1701887779,1701887839,12.070422535211268,71,1,4,0,2,2,2,2,2,2,2,2,3,3,3,6,4,4,10,7,5,2,2,1,39.1256,23.9578,35.40972,66.59454166666667,71248.7422,115429.8808,135.2237
1701887839,1701887899,13.709677419354838,62,2,5,2,2,2,1,1,1,1,1,1,1,1,2,4,2,2,12,9,3,2,3,2,39.6351,23.954,31.511499999999995,65.83483666666665,84918.107,134784.8592,124.5809
1701887899,1701887959,12.442857142857143,70,3,7,1,1,2,2,2,2,2,2,2,2,2,2,4,1,1,10,11,3,3,4,1,39.7583,23.9698,41.519664999999996,65.47071666666668,79987.2764,119949.505,130.4593
1701887959,1701888019,12.225,80,3,6,1,4,4,4,4,4,3,3,3,3,3,2,4,2,3,5,5,5,1,6,2,40.6393,23.9697,38.80551333333333,64.77001999999999,99881.6145,156671.5198,132.8842
1701888019,1701888079,14.706896551724139,58,2,4,2,2,2,2,2,3,3,3,3,3,3,1,0,0,1,5,4,6,1,4,2,36.5823,23.9662,47.59145833333334,64.89855000000001,64852.1997,110875.39,143.926
1701888079,1701888139,13.381578947368421,76,2,4,1,2,2,2,2,2,2,2,2,2,2,5,7,5,6,8,5,7,2,3,1,42.4715,23.9748,34.959528333333324,67.06811166666665,76654.9642,123006.6069,130.2869
1701888139,1701888199,13.35820895522388,67,4,8,1,2,2,2,2,2,1,1,1,1,1,2,4,2,3,8,8,3,2,6,1,51.1549,23.9737,36.00886333333333,66.167035,85799.9306,137001.2357,132.2117
1701888199,1701888259,12.0,85,3,5,2,4,4,4,4,5,5,5,5,5,5,1,1,2,3,4,3,6,0,7,2,41.6674,23.9899,42.44320666666667,64.42382833333335,99610.7044,146716.8043,139.768
1701888259,1701888319,15.148148148148149,54,0,1,0,3,3,3,3,3,1,1,1,1,1,3,4,2,3,6,5,6,1,3,0,43.7291,23.9964,44.16240666666667,65.01490666666668,79462.7145,138253.4332,132.5238
1701888319,1701888379,13.553571428571429,56,2,5,1,0,0,0,0,1,1,1,2,2,2,3,5,3,3,8,8,5,2,1,1,36.5578,23.9883,42.277406666666664,65.77251,54566.2526,94366.8931,138.1546
1701888379,1701888439,13.776315789473685,76,5,9,2,1,2,2,2,2,2,2,2,2,2,2,4,2,3,8,8,4,2,6,2,49.6574,24.0255,35.502714999999995,65.11304,89704.4978,130032.2194,124.5639
1701888439,1701888499,19.047619047619047,42,1,3,1,5,4,0,0,0,0,0,0,0,0,2,3,1,1,5,6,2,2,5,1,55.4974,23.9876,35.642048333333335,64.76556833333333,102508.3983,164701.3949,116.3834
1701888499,1701888559,10.217391304347826,92,4,6,2,1,5,5,5,6,6,6,6,6,6,2,2,2,2,3,5,6,0,4,2,39.341,24.038,41.62436666666665,64.98201833333334,63422.7667,92482.9498,153.882
1701888559,1701888619,13.790123456790123,81,2,4,1,3,3,3,3,3,3,3,3,3,3,5,6,5,5,4,4,8,2,4,1,48.783,24.0441,40.02500666666667,65.84060666666666,84618.5032,148096.2717,133.6151
1701888619,1701888679,13.839285714285714,56,2,4,0,2,2,2,2,2,2,1,1,1,1,3,2,1,4,8,6,4,2,3,1,39.7357,24.0466,37.91849166666667,66.34042666666666,83669.3095,141260.5477,132.6019
1701888679,1701888739,13.183333333333334,60,3,5,1,3,2,2,1,1,1,1,1,2,2,1,3,1,4,9,6,3,2,4,2,39.2314,24.0544,36.28351,65.68662666666667,84415.0916,127229.1897,136.3784
1701888739,1701888799,11.605263157894736,76,2,5,2,3,3,3,3,3,3,3,3,3,3,2,4,2,3,8,6,5,2,3,2,39.3001,24.1551,36.28252333333333,66.87133166666666,77437.0101,118369.8062,134.8102
1701888799,1701888860,13.17142857142857,70,2,6,2,1,2,2,2,2,2,2,2,2,2,3,4,2,3,9,8,5,2,3,2,39.4982,23.9672,34.36710000000001,66.04348333333336,74627.518,121172.157,134.3665
1701888860,1701888920,13.50632911392405,79,6,8,2,4,3,2,2,2,2,2,2,2,2,3,3,3,3,7,7,4,0,8,2,42.982,23.9619,35.301885,66.12039666666666,100527.0965,167137.1099,133.0313
1701888920,1701888980,12.206349206349206,63,1,2,0,5,6,5,5,5,4,4,3,3,3,0,0,0,0,3,3,5,1,5,0,37.6728,23.9621,52.33847833333332,65.34781833333335,85458.1292,131983.369,150.4109
1701888980,1701889040,13.45945945945946,74,2,3,1,1,2,2,2,2,2,2,3,4,4,5,6,5,5,7,3,9,1,2,1,42.0544,23.9618,38.688639999999985,65.59423833333334,65713.6247,119008.8929,140.1488
1701889040,1701889100,13.121621621621621,74,2,5,0,3,2,2,2,2,2,2,2,2,2,3,4,4,4,13,8,4,2,4,0,42.5346,23.9608,31.629234999999998,65.38380833333332,98264.1598,146793.4051,122.876
1701889100,1701889160,14.783333333333333,60,4,6,0,2,2,2,2,2,2,2,2,2,3,0,2,0,0,8,7,4,2,5,1,36.4359,23.9703,40.77777833333334,65.57018666666666,67617.5862,106360.0958,142.9992
1701889160,1701889220,12.434782608695652,92,4,3,2,5,5,5,5,5,5,5,4,4,4,4,3,3,3,4,3,8,0,6,2,52.5878,23.9631,39.42404000000001,64.54664166666664,110919.5595,180378.2993,135.4384
1701889220,1701889280,14.288461538461538,52,2,3,0,3,3,3,3,2,1,1,1,2,2,3,2,2,2,4,3,6,1,3,0,37.3102,23.9532,47.638989999999964,64.93226666666666,73032.8703,118933.6027,145.1399
1701889280,1701889340,13.567164179104477,67,1,4,1,0,0,0,0,0,1,2,2,2,2,5,8,5,5,10,8,6,3,1,1,44.3385,23.9449,30.95809333333334,65.42811833333336,58110.4671,103124.5576,128.7115
1701889340,1701889400,12.075757575757576,66,4,8,1,2,2,2,2,2,1,1,1,1,1,2,3,2,3,8,10,2,2,5,1,41.7098,23.9496,29.766253333333328,64.90025333333332,85536.7506,133899.5808,130.3597
